Customer_ID,Customer_Name,City,Age,Gender
C00001,Customer_1,Delhi,56,Male
C00002,Customer_2,Mumbai,69,Female
C00003,Customer_3,Kolkata,46,Male
C00004,Customer_4,Coimbatore,32,Male
C00005,Customer_5,Chennai,60,Female
C00006,Customer_6,Bangalore,25,Male
C00007,Customer_7,Bangalore,38,Male
C00008,Customer_8,Bangalore,56,Female
C00009,Customer_9,Delhi,36,Male
C00010,Customer_10,Mumbai,40,Female
C00011,Customer_11,Bangalore,28,Female
C00012,Customer_12,Kolkata,28,Female
C00013,Customer_13,Bangalore,41,Female
C00014,Customer_14,Pune,53,Female
C00015,Customer_15,Coimbatore,57,Male
C00016,Customer_16,Chennai,41,Male
C00017,Customer_17,Coimbatore,20,Female
C00018,Customer_18,Pune,39,Female
C00019,Customer_19,Pune,19,Male
C00020,Customer_20,Chennai,41,Female
C00021,Customer_21,Kolkata,61,Female
C00022,Customer_22,Mumbai,47,Female
C00023,Customer_23,Pune,55,Male
C00024,Customer_24,Mumbai,19,Male
C00025,Customer_25,Pune,38,Female
C00026,Customer_26,Hyderabad,50,Female
C00027,Customer_27,Chennai,29,Male
C00028,Customer_28,Pune,39,Male
C00029,Customer_29,Hyderabad,61,Female
C00030,Customer_30,Coimbatore,42,Female
C00031,Customer_31,Delhi,66,Male
C00032,Customer_32,Hyderabad,44,Male
C00033,Customer_33,Bangalore,59,Male
C00034,Customer_34,Pune,45,Female
C00035,Customer_35,Hyderabad,33,Male
C00036,Customer_36,Mumbai,32,Female
C00037,Customer_37,Delhi,64,Male
C00038,Customer_38,Kolkata,68,Male
C00039,Customer_39,Pune,61,Male
C00040,Customer_40,Bangalore,69,Male
C00041,Customer_41,Kolkata,20,Female
C00042,Customer_42,Hyderabad,54,Female
C00043,Customer_43,Kolkata,68,Male
C00044,Customer_44,Kolkata,24,Female
C00045,Customer_45,Delhi,38,Male
C00046,Customer_46,Coimbatore,26,Male
C00047,Customer_47,Kolkata,56,Male
C00048,Customer_48,Kolkata,35,Male
C00049,Customer_49,Pune,21,Female
C00050,Customer_50,Coimbatore,42,Male
C00051,Customer_51,Delhi,31,Male
C00052,Customer_52,Bangalore,67,Female
C00053,Customer_53,Hyderabad,26,Male
C00054,Customer_54,Delhi,43,Male
C00055,Customer_55,Delhi,19,Male
C00056,Customer_56,Chennai,37,Female
C00057,Customer_57,Delhi,45,Male
C00058,Customer_58,Coimbatore,64,Female
C00059,Customer_59,Chennai,24,Male
C00060,Customer_60,Hyderabad,61,Male
C00061,Customer_61,Kolkata,25,Female
C00062,Customer_62,Pune,64,Male
C00063,Customer_63,Pune,52,Male
C00064,Customer_64,Hyderabad,31,Female
C00065,Customer_65,Hyderabad,34,Female
C00066,Customer_66,Coimbatore,53,Female
C00067,Customer_67,Mumbai,67,Female
C00068,Customer_68,Kolkata,57,Female
C00069,Customer_69,Hyderabad,21,Male
C00070,Customer_70,Delhi,19,Female
C00071,Customer_71,Coimbatore,23,Male
C00072,Customer_72,Pune,59,Male
C00073,Customer_73,Bangalore,21,Male
C00074,Customer_74,Coimbatore,46,Female
C00075,Customer_75,Pune,35,Female
C00076,Customer_76,Chennai,43,Male
C00077,Customer_77,Coimbatore,61,Female
C00078,Customer_78,Pune,51,Female
C00079,Customer_79,Mumbai,27,Female
C00080,Customer_80,Coimbatore,53,Female
C00081,Customer_81,Coimbatore,31,Male
C00082,Customer_82,Kolkata,48,Male
C00083,Customer_83,Hyderabad,65,Female
C00084,Customer_84,Kolkata,32,Male
C00085,Customer_85,Coimbatore,25,Female
C00086,Customer_86,Hyderabad,31,Female
C00087,Customer_87,Pune,40,Male
C00088,Customer_88,Bangalore,57,Male
C00089,Customer_89,Bangalore,38,Male
C00090,Customer_90,Coimbatore,33,Female
C00091,Customer_91,Mumbai,62,Male
C00092,Customer_92,Chennai,35,Female
C00093,Customer_93,Pune,64,Male
C00094,Customer_94,Hyderabad,41,Male
C00095,Customer_95,Coimbatore,43,Female
C00096,Customer_96,Pune,42,Female
C00097,Customer_97,Coimbatore,62,Female
C00098,Customer_98,Mumbai,58,Female
C00099,Customer_99,Delhi,46,Female
C00100,Customer_100,Delhi,32,Female
C00101,Customer_101,Mumbai,62,Female
C00102,Customer_102,Hyderabad,18,Female
C00103,Customer_103,Kolkata,42,Male
C00104,Customer_104,Mumbai,24,Female
C00105,Customer_105,Coimbatore,26,Female
C00106,Customer_106,Hyderabad,41,Male
C00107,Customer_107,Bangalore,18,Female
C00108,Customer_108,Mumbai,61,Male
C00109,Customer_109,Hyderabad,25,Male
C00110,Customer_110,Mumbai,41,Female
C00111,Customer_111,Mumbai,28,Male
C00112,Customer_112,Kolkata,68,Female
C00113,Customer_113,Kolkata,34,Male
C00114,Customer_114,Coimbatore,25,Male
C00115,Customer_115,Hyderabad,52,Male
C00116,Customer_116,Hyderabad,52,Female
C00117,Customer_117,Chennai,50,Female
C00118,Customer_118,Mumbai,22,Male
C00119,Customer_119,Delhi,59,Male
C00120,Customer_120,Mumbai,56,Female
C00121,Customer_121,Mumbai,58,Female
C00122,Customer_122,Hyderabad,45,Male
C00123,Customer_123,Mumbai,24,Male
C00124,Customer_124,Pune,26,Female
C00125,Customer_125,Mumbai,25,Female
C00126,Customer_126,Pune,29,Female
C00127,Customer_127,Kolkata,51,Female
C00128,Customer_128,Delhi,50,Female
C00129,Customer_129,Coimbatore,65,Male
C00130,Customer_130,Hyderabad,40,Female
C00131,Customer_131,Mumbai,41,Male
C00132,Customer_132,Pune,54,Female
C00133,Customer_133,Pune,52,Male
C00134,Customer_134,Kolkata,61,Female
C00135,Customer_135,Pune,57,Female
C00136,Customer_136,Coimbatore,39,Male
C00137,Customer_137,Bangalore,44,Male
C00138,Customer_138,Chennai,52,Female
C00139,Customer_139,Coimbatore,18,Female
C00140,Customer_140,Delhi,52,Female
C00141,Customer_141,Coimbatore,54,Female
C00142,Customer_142,Kolkata,64,Female
C00143,Customer_143,Kolkata,31,Male
C00144,Customer_144,Coimbatore,20,Male
C00145,Customer_145,Mumbai,18,Female
C00146,Customer_146,Bangalore,22,Male
C00147,Customer_147,Mumbai,43,Male
C00148,Customer_148,Mumbai,31,Male
C00149,Customer_149,Coimbatore,56,Female
C00150,Customer_150,Hyderabad,44,Male
C00151,Customer_151,Hyderabad,26,Female
C00152,Customer_152,Hyderabad,32,Male
C00153,Customer_153,Bangalore,32,Female
C00154,Customer_154,Mumbai,43,Male
C00155,Customer_155,Chennai,59,Female
C00156,Customer_156,Delhi,30,Female
C00157,Customer_157,Hyderabad,68,Male
C00158,Customer_158,Hyderabad,49,Female
C00159,Customer_159,Kolkata,56,Female
C00160,Customer_160,Mumbai,66,Female
C00161,Customer_161,Mumbai,69,Female
C00162,Customer_162,Bangalore,49,Female
C00163,Customer_163,Bangalore,21,Female
C00164,Customer_164,Hyderabad,47,Female
C00165,Customer_165,Mumbai,54,Female
C00166,Customer_166,Chennai,40,Male
C00167,Customer_167,Delhi,56,Male
C00168,Customer_168,Coimbatore,62,Female
C00169,Customer_169,Mumbai,32,Female
C00170,Customer_170,Kolkata,60,Male
C00171,Customer_171,Coimbatore,46,Male
C00172,Customer_172,Mumbai,53,Male
C00173,Customer_173,Pune,30,Female
C00174,Customer_174,Bangalore,49,Male
C00175,Customer_175,Kolkata,24,Female
C00176,Customer_176,Delhi,68,Female
C00177,Customer_177,Hyderabad,39,Male
C00178,Customer_178,Kolkata,45,Female
C00179,Customer_179,Mumbai,19,Female
C00180,Customer_180,Hyderabad,59,Female
C00181,Customer_181,Mumbai,62,Female
C00182,Customer_182,Hyderabad,23,Male
C00183,Customer_183,Delhi,45,Male
C00184,Customer_184,Bangalore,45,Female
C00185,Customer_185,Delhi,61,Female
C00186,Customer_186,Pune,61,Male
C00187,Customer_187,Chennai,37,Female
C00188,Customer_188,Bangalore,47,Male
C00189,Customer_189,Delhi,28,Female
C00190,Customer_190,Pune,45,Female
C00191,Customer_191,Chennai,42,Male
C00192,Customer_192,Pune,56,Male
C00193,Customer_193,Mumbai,50,Male
C00194,Customer_194,Coimbatore,18,Male
C00195,Customer_195,Mumbai,44,Female
C00196,Customer_196,Hyderabad,69,Male
C00197,Customer_197,Bangalore,30,Female
C00198,Customer_198,Mumbai,58,Male
C00199,Customer_199,Kolkata,20,Male
C00200,Customer_200,Pune,56,Female
C00201,Customer_201,Bangalore,23,Male
C00202,Customer_202,Coimbatore,25,Male
