Product_ID,Product_Name,Category,Price
P0001,Product_1,Sports,80239.48
P0002,Product_2,Beauty,7547.61
P0003,Product_3,Books,98690.0
P0004,Product_4,Beauty,77247.25
P0005,Product_5,Beauty,19951.7
P0006,Product_6,Clothing,651.66
P0007,Product_7,Books,81564.6
P0008,Product_8,Books,70715.05
P0009,Product_9,Books,72927.82
P0010,Product_10,Beauty,77149.91
P0011,Product_11,Sports,7497.06
P0012,Product_12,Books,35910.73
P0013,Product_13,Home Appliances,11675.32
P0014,Product_14,Beauty,86324.03
P0015,Product_15,Clothing,62367.48
P0016,Product_16,Sports,33156.71
P0017,Product_17,Home Appliances,6449.48
P0018,Product_18,Home Appliances,31167.13
P0019,Product_19,Clothing,32585.81
P0020,Product_20,Sports,72987.66
P0021,Product_21,Beauty,63791.99
P0022,Product_22,Electronics,88732.55
P0023,Product_23,Sports,47274.27
P0024,Product_24,Clothing,12047.47
P0025,Product_25,Home Appliances,71353.15
P0026,Product_26,Beauty,76102.43
P0027,Product_27,Sports,56171.59
P0028,Product_28,Electronics,77119.62
P0029,Product_29,Electronics,49430.18
P0030,Product_30,Books,52321.01
P0031,Product_31,Books,42811.35
P0032,Product_32,Clothing,2639.37
P0033,Product_33,Sports,10878.35
P0034,Product_34,Sports,3239.78
P0035,Product_35,Home Appliances,63677.4
P0036,Product_36,Home Appliances,31504.16
P0037,Product_37,Home Appliances,50906.21
P0038,Product_38,Books,90765.89
P0039,Product_39,Sports,25004.29
P0040,Product_40,Sports,41097.25
P0041,Product_41,Electronics,75579.56
P0042,Product_42,Books,22956.94
P0043,Product_43,Beauty,7790.29
P0044,Product_44,Books,29046.17
P0045,Product_45,Beauty,16206.01
P0046,Product_46,Electronics,92976.8
P0047,Product_47,Clothing,80831.23
P0048,Product_48,Sports,63377.04
P0049,Product_49,Electronics,87158.91
P0050,Product_50,Sports,80386.84
P0051,Product_51,Home Appliances,18738.35
P0052,Product_52,Clothing,89266.64
P0053,Product_53,Clothing,53980.29
P0054,Product_54,Electronics,80763.27
P0055,Product_55,Clothing,89619.52
P0056,Product_56,Beauty,31868.55
P0057,Product_57,Clothing,11094.19
P0058,Product_58,Sports,22870.72
P0059,Product_59,Sports,42768.07
P0060,Product_60,Sports,81819.68
P0061,Product_61,Sports,86086.99
P0062,Product_62,Beauty,794.52
P0063,Product_63,Books,51123.66
P0064,Product_64,Home Appliances,41799.36
P0065,Product_65,Electronics,22288.57
P0066,Product_66,Sports,12074.55
P0067,Product_67,Clothing,33827.76
P0068,Product_68,Sports,94296.68
P0069,Product_69,Clothing,32387.97
P0070,Product_70,Home Appliances,51927.18
P0071,Product_71,Home Appliances,70331.59
P0072,Product_72,Home Appliances,36426.6
P0073,Product_73,Clothing,97181.03
P0074,Product_74,Sports,96248.48
P0075,Product_75,Home Appliances,25253.05
P0076,Product_76,Beauty,49775.13
P0077,Product_77,Clothing,30157.74
P0078,Product_78,Clothing,28555.57
P0079,Product_79,Sports,3785.01
P0080,Product_80,Clothing,60995.48
P0081,Product_81,Clothing,50317.63
P0082,Product_82,Home Appliances,5242.73
P0083,Product_83,Sports,27936.78
P0084,Product_84,Home Appliances,90835.76
P0085,Product_85,Home Appliances,24032.23
P0086,Product_86,Sports,14575.0
P0087,Product_87,Electronics,48996.33
P0088,Product_88,Home Appliances,98566.48
P0089,Product_89,Beauty,24281.32
P0090,Product_90,Beauty,67246.34
P0091,Product_91,Clothing,76185.8
P0092,Product_92,Beauty,23839.99
P0093,Product_93,Clothing,72848.81
P0094,Product_94,Electronics,36841.53
P0095,Product_95,Sports,63267.35
P0096,Product_96,Sports,63389.62
P0097,Product_97,Sports,53623.89
P0098,Product_98,Beauty,9119.95
P0099,Product_99,Electronics,83546.72
P0100,Product_100,Beauty,32145.93
